#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C4B	ITGB2	9606.ENSP00000415941	9606.ENSP00000380948	0	0	0	0	0.072	0	0	0.603	0.615
C4B	TF	9606.ENSP00000415941	9606.ENSP00000385834	0	0	0	0	0.118	0	0	0.411	0.458
CA14	RNASE1	9606.ENSP00000358107	9606.ENSP00000381057	0	0	0	0	0	0	0	0.514	0.514
CA14	SLC4A2	9606.ENSP00000358107	9606.ENSP00000419412	0	0	0	0	0.087	0	0	0.536	0.558
CA2	OSGEP	9606.ENSP00000285379	9606.ENSP00000206542	0	0	0	0	0.056	0	0	0.615	0.621
CA2	RNASE1	9606.ENSP00000285379	9606.ENSP00000381057	0	0	0	0	0.084	0	0	0.470	0.493
CA2	SLC4A2	9606.ENSP00000285379	9606.ENSP00000419412	0	0	0	0	0.103	0	0	0.512	0.544
CA5B	RNASE1	9606.ENSP00000314099	9606.ENSP00000381057	0	0	0	0	0	0	0	0.533	0.533
CA5B	MOSPD2	9606.ENSP00000314099	9606.ENSP00000369860	0	0	0	0	0.180	0	0	0.472	0.549
CACNG4	PPP2R3A	9606.ENSP00000262138	9606.ENSP00000264977	0	0	0	0	0	0	0.650	0	0.650
CACNG4	PPP2R3B	9606.ENSP00000262138	9606.ENSP00000375080	0	0	0	0	0	0	0.650	0	0.650
CACNG4	RASGRP3	9606.ENSP00000262138	9606.ENSP00000385886	0	0	0	0	0	0	0.650	0.044	0.651
CACNG4	GRIK4	9606.ENSP00000262138	9606.ENSP00000435648	0	0	0	0	0.081	0	0.540	0.266	0.662
CACNG4	HSPA2	9606.ENSP00000262138	9606.ENSP00000378199	0	0	0	0	0	0	0.720	0	0.720
CACNG4	GRIN2D	9606.ENSP00000262138	9606.ENSP00000263269	0	0	0	0	0.069	0	0.720	0.250	0.787
CAPG	TYROBP	9606.ENSP00000263867	9606.ENSP00000262629	0	0	0	0	0.320	0	0	0.166	0.409
CAPG	CAPS	9606.ENSP00000263867	9606.ENSP00000498855	0	0	0	0	0.064	0.045	0	0.422	0.438
CAPG	GPNMB	9606.ENSP00000263867	9606.ENSP00000371420	0	0	0	0	0.169	0	0	0.353	0.439
CAPG	LCP1	9606.ENSP00000263867	9606.ENSP00000381581	0	0	0	0	0.122	0.070	0	0.447	0.509
CAPN3	ITGB4	9606.ENSP00000380349	9606.ENSP00000200181	0	0	0	0	0.074	0.057	0	0.386	0.417
CAPN3	FLNC	9606.ENSP00000380349	9606.ENSP00000327145	0	0	0	0	0.045	0.292	0	0.820	0.867
CAPN3	SGCD	9606.ENSP00000380349	9606.ENSP00000338343	0	0	0	0	0.080	0	0	0.666	0.679
CAPN3	FBXO32	9606.ENSP00000380349	9606.ENSP00000428205	0	0	0	0	0.075	0	0	0.418	0.439
CAPN3	ITGB2	9606.ENSP00000380349	9606.ENSP00000380948	0	0	0	0	0.172	0.057	0	0.349	0.447
CARD8	NLRP3	9606.ENSP00000499211	9606.ENSP00000337383	0	0.069	0	0	0.081	0.307	0.900	0.976	0.998
CARD8	NAIP	9606.ENSP00000499211	9606.ENSP00000428657	0	0	0	0	0.108	0.184	0.540	0.396	0.771
CARD8	NLRP1	9606.ENSP00000499211	9606.ENSP00000460475	0	0	0	0.840	0.101	0	0.900	0.551	0.956
CARNS1	PLLP	9606.ENSP00000389009	9606.ENSP00000219207	0	0	0	0	0.064	0	0	0.440	0.453
CARNS1	SLC31A2	9606.ENSP00000389009	9606.ENSP00000259392	0	0	0	0	0	0	0	0.414	0.414
CARNS1	CNDP1	9606.ENSP00000389009	9606.ENSP00000351682	0.057	0	0	0	0.139	0	0.900	0.778	0.979
CARNS1	PADI2	9606.ENSP00000389009	9606.ENSP00000364635	0	0	0	0	0.105	0	0	0.397	0.437
CARNS1	PPP1R18	9606.ENSP00000389009	9606.ENSP00000480270	0	0	0	0	0	0	0	0.560	0.560
CARNS1	SLC6A6	9606.ENSP00000389009	9606.ENSP00000481625	0	0	0	0	0	0	0	0.576	0.576
CASP3	CD4	9606.ENSP00000311032	9606.ENSP00000011653	0	0	0	0	0	0.046	0	0.771	0.772
CASP3	GRN	9606.ENSP00000311032	9606.ENSP00000053867	0	0	0	0	0.047	0	0	0.522	0.525
CASP3	EFS	9606.ENSP00000311032	9606.ENSP00000216733	0	0	0	0	0	0.094	0	0.724	0.739
CASP3	PIGU	9606.ENSP00000311032	9606.ENSP00000217446	0	0	0	0	0	0	0.540	0	0.540
CASP3	MMP2	9606.ENSP00000311032	9606.ENSP00000219070	0	0	0	0	0.090	0	0	0.698	0.713
CASP3	TGFB1	9606.ENSP00000311032	9606.ENSP00000221930	0	0	0	0	0.042	0	0	0.706	0.706
CASP3	DNASE2	9606.ENSP00000311032	9606.ENSP00000222219	0	0	0	0	0.042	0	0	0.483	0.483
CASP3	CD38	9606.ENSP00000311032	9606.ENSP00000226279	0	0	0	0	0.114	0	0	0.372	0.421
CASP3	CD68	9606.ENSP00000311032	9606.ENSP00000250092	0	0	0	0	0.048	0	0	0.630	0.632
CASP3	PXDN	9606.ENSP00000311032	9606.ENSP00000252804	0	0	0	0	0.047	0	0	0.918	0.918
CASP3	GFAP	9606.ENSP00000311032	9606.ENSP00000253408	0	0	0	0	0.053	0.094	0	0.794	0.808
CASP3	PDGFRA	9606.ENSP00000311032	9606.ENSP00000257290	0	0	0	0	0	0	0	0.475	0.475
CASP3	CYBA	9606.ENSP00000311032	9606.ENSP00000261623	0	0	0	0	0.045	0	0	0.477	0.479
CASP3	TIMP2	9606.ENSP00000311032	9606.ENSP00000262768	0	0	0	0	0.047	0	0	0.433	0.436
CASP3	ERBB3	9606.ENSP00000311032	9606.ENSP00000267101	0	0	0	0	0.054	0	0	0.460	0.467
CASP3	CSF1R	9606.ENSP00000311032	9606.ENSP00000286301	0	0	0	0	0	0	0	0.426	0.426
CASP3	SCIN	9606.ENSP00000311032	9606.ENSP00000297029	0	0	0	0	0	0	0	0.457	0.457
CASP3	RNASE1	9606.ENSP00000311032	9606.ENSP00000381057	0	0	0	0	0	0	0	0.402	0.402
CASP3	TFEB	9606.ENSP00000311032	9606.ENSP00000351742	0	0	0	0	0	0	0	0.410	0.410
CASP3	H2BC21	9606.ENSP00000311032	9606.ENSP00000358151	0	0	0	0	0	0	0	0.418	0.418
CASP3	CDCA7L	9606.ENSP00000311032	9606.ENSP00000383986	0	0	0	0	0	0	0	0.429	0.429
CASP3	OLIG1	9606.ENSP00000311032	9606.ENSP00000371785	0	0	0	0	0	0	0	0.433	0.433
CASP3	SYK	9606.ENSP00000311032	9606.ENSP00000364898	0	0	0	0	0.105	0.067	0	0.377	0.435
CASP3	CD24	9606.ENSP00000311032	9606.ENSP00000481841	0	0	0	0	0.056	0	0	0.427	0.437
CASP3	ELN	9606.ENSP00000311032	9606.ENSP00000351807	0	0	0	0	0	0	0	0.442	0.442
CASP3	MAOB	9606.ENSP00000311032	9606.ENSP00000367309	0	0	0	0	0	0	0	0.444	0.444
CASP3	CD9	9606.ENSP00000311032	9606.ENSP00000371958	0	0	0	0	0.086	0	0	0.416	0.444
CASP3	CCL3	9606.ENSP00000311032	9606.ENSP00000477908	0	0	0	0	0.086	0	0	0.419	0.446
CASP3	ITGAX	9606.ENSP00000311032	9606.ENSP00000454623	0	0	0	0	0	0	0	0.450	0.450
CASP3	FCGR3A	9606.ENSP00000311032	9606.ENSP00000356946	0	0	0	0	0.068	0	0	0.439	0.455
CASP3	NLRP1	9606.ENSP00000311032	9606.ENSP00000460475	0	0	0	0	0.054	0	0	0.453	0.461
CASP3	TGFBR1	9606.ENSP00000311032	9606.ENSP00000447297	0	0	0	0	0.125	0.067	0	0.398	0.466
CASP3	SREBF1	9606.ENSP00000311032	9606.ENSP00000348069	0	0	0	0	0.048	0	0	0.467	0.471
CASP3	LAMP2	9606.ENSP00000311032	9606.ENSP00000408411	0	0	0	0	0.050	0	0	0.466	0.471
CASP3	FBXO32	9606.ENSP00000311032	9606.ENSP00000428205	0	0	0	0	0.055	0	0	0.475	0.482
CASP3	CAV1	9606.ENSP00000311032	9606.ENSP00000339191	0	0	0	0	0.045	0	0	0.484	0.486
CASP3	NOS1	9606.ENSP00000311032	9606.ENSP00000477999	0	0	0	0	0	0	0	0.486	0.486
CASP3	CNP	9606.ENSP00000311032	9606.ENSP00000377470	0	0	0	0	0.049	0	0	0.482	0.487
CASP3	RPS6KA1	9606.ENSP00000311032	9606.ENSP00000435412	0	0	0	0	0.076	0	0	0.475	0.494
CASP3	PTGS1	9606.ENSP00000311032	9606.ENSP00000354612	0	0	0	0	0.055	0	0	0.540	0.547
CASP3	LAMP1	9606.ENSP00000311032	9606.ENSP00000333298	0	0	0	0	0.062	0	0	0.551	0.562
CASP3	YBX1	9606.ENSP00000311032	9606.ENSP00000361626	0	0	0	0	0.049	0.090	0	0.550	0.576
CASP3	SPP1	9606.ENSP00000311032	9606.ENSP00000378517	0	0	0	0	0	0.292	0	0.456	0.598
CASP3	NLRP3	9606.ENSP00000311032	9606.ENSP00000337383	0	0	0	0	0	0.062	0	0.591	0.600
CASP3	ITGAM	9606.ENSP00000311032	9606.ENSP00000496959	0	0	0	0	0.049	0	0	0.605	0.608
CASP3	CYBB	9606.ENSP00000311032	9606.ENSP00000367851	0	0	0	0	0.089	0	0	0.599	0.620
CASP3	OLIG2	9606.ENSP00000311032	9606.ENSP00000331040	0	0	0	0	0	0	0	0.642	0.642
CASP3	PTPRC	9606.ENSP00000311032	9606.ENSP00000411355	0	0	0	0	0.094	0	0	0.628	0.649
CASP3	CD44	9606.ENSP00000311032	9606.ENSP00000398632	0	0	0	0	0.057	0	0	0.647	0.653
CASP3	DAPK2	9606.ENSP00000311032	9606.ENSP00000484390	0	0	0	0	0	0.045	0.500	0.375	0.675
CASP3	PSEN1	9606.ENSP00000311032	9606.ENSP00000326366	0	0	0	0	0.058	0	0	0.713	0.718
CASP3	NAIP	9606.ENSP00000311032	9606.ENSP00000428657	0	0	0	0	0.067	0.303	0	0.671	0.767
CASP3	HCLS1	9606.ENSP00000311032	9606.ENSP00000320176	0	0	0	0	0.049	0.689	0	0.293	0.773
CASP3	TJP2	9606.ENSP00000311032	9606.ENSP00000438262	0	0	0	0	0.044	0	0.750	0.254	0.806
CASP3	UNC5B	9606.ENSP00000311032	9606.ENSP00000334329	0	0	0	0	0	0	0.750	0.278	0.811
CASP3	HIP1	9606.ENSP00000311032	9606.ENSP00000336747	0	0	0	0	0	0.095	0.900	0.044	0.905
CASP3	GSN	9606.ENSP00000311032	9606.ENSP00000362924	0	0	0	0	0.042	0.378	0.750	0.454	0.907
CASP3	PARP4	9606.ENSP00000311032	9606.ENSP00000371419	0	0	0	0	0.049	0.071	0.900	0.160	0.915
CAV1	ITGB4	9606.ENSP00000339191	9606.ENSP00000200181	0	0	0	0	0.081	0	0.650	0.308	0.758
CAV1	MMP2	9606.ENSP00000339191	9606.ENSP00000219070	0	0	0	0	0.188	0	0	0.635	0.690
CAV1	TGFB1	9606.ENSP00000339191	9606.ENSP00000221930	0	0	0	0	0.054	0	0	0.688	0.692
CAV1	SPARC	9606.ENSP00000339191	9606.ENSP00000231061	0	0	0	0	0.171	0	0	0.354	0.442
CAV1	IGFBP5	9606.ENSP00000339191	9606.ENSP00000233813	0	0	0	0	0.084	0	0	0.523	0.544
CAV1	LIPE	9606.ENSP00000339191	9606.ENSP00000244289	0	0	0	0	0.043	0	0	0.597	0.598
CAV1	PLEKHG3	9606.ENSP00000339191	9606.ENSP00000247226	0	0	0	0	0	0	0.400	0	0.400
CAV1	CDC42EP1	9606.ENSP00000339191	9606.ENSP00000249014	0	0	0	0	0.097	0.127	0.400	0	0.485
CAV1	PXDN	9606.ENSP00000339191	9606.ENSP00000252804	0	0	0	0	0.127	0	0	0.590	0.626
CAV1	FOLH1	9606.ENSP00000339191	9606.ENSP00000256999	0	0	0	0	0	0	0	0.549	0.549
CAV1	PDGFRA	9606.ENSP00000339191	9606.ENSP00000257290	0	0	0	0	0.084	0.306	0	0.348	0.549
CAV1	STRN	9606.ENSP00000339191	9606.ENSP00000263918	0	0	0	0	0.069	0.110	0	0.789	0.809
CAV1	RTKN	9606.ENSP00000339191	9606.ENSP00000272430	0	0	0	0	0.062	0	0.400	0.145	0.476
CAV1	NCKAP1L	9606.ENSP00000339191	9606.ENSP00000293373	0	0	0	0	0	0	0.400	0	0.400
CAV1	PDPN	9606.ENSP00000339191	9606.ENSP00000294489	0	0	0	0	0.115	0	0	0.370	0.419
CAV1	ITGB5	9606.ENSP00000339191	9606.ENSP00000296181	0	0	0	0	0.118	0	0.650	0.183	0.725
CAV1	HCLS1	9606.ENSP00000339191	9606.ENSP00000320176	0	0	0	0	0.063	0	0	0.385	0.400
CAV1	FLNC	9606.ENSP00000339191	9606.ENSP00000327145	0	0	0	0	0.181	0	0	0.859	0.880
CAV1	LAMP1	9606.ENSP00000339191	9606.ENSP00000333298	0	0	0	0	0.059	0.162	0	0.514	0.583
CAV1	FMNL3	9606.ENSP00000339191	9606.ENSP00000335655	0	0	0	0	0	0	0.400	0.081	0.425
CAV1	CYBB	9606.ENSP00000339191	9606.ENSP00000367851	0	0	0	0	0.056	0	0	0.396	0.405
CAV1	SREBF1	9606.ENSP00000339191	9606.ENSP00000348069	0	0	0	0	0	0	0	0.406	0.406
CAV1	MFSD2A	9606.ENSP00000339191	9606.ENSP00000361895	0	0	0	0	0	0	0	0.406	0.406
CAV1	CYFIP1	9606.ENSP00000339191	9606.ENSP00000481038	0	0	0	0	0.067	0	0.400	0	0.416
CAV1	MYO9B	9606.ENSP00000339191	9606.ENSP00000471457	0	0	0	0	0	0	0.400	0.097	0.435
CAV1	PLXNB1	9606.ENSP00000339191	9606.ENSP00000351338	0	0	0	0	0	0	0.400	0.107	0.441
CAV1	HOMER3	9606.ENSP00000339191	9606.ENSP00000439937	0	0	0	0	0.047	0	0	0.454	0.457
CAV1	PTPRC	9606.ENSP00000339191	9606.ENSP00000411355	0	0	0	0	0.049	0	0	0.469	0.473
CAV1	RND2	9606.ENSP00000339191	9606.ENSP00000466680	0	0	0	0	0	0.128	0.500	0	0.545
CAV1	TJP2	9606.ENSP00000339191	9606.ENSP00000438262	0	0	0	0	0.044	0	0.400	0.300	0.563
CAV1	CD9	9606.ENSP00000339191	9606.ENSP00000371958	0	0	0	0	0.086	0	0	0.551	0.572
CAV1	S100A6	9606.ENSP00000339191	9606.ENSP00000357709	0	0	0	0	0.149	0	0	0.534	0.586
CAV1	RHOG	9606.ENSP00000339191	9606.ENSP00000339467	0	0	0	0	0.046	0.128	0.500	0.161	0.605
CAV1	GJB1	9606.ENSP00000339191	9606.ENSP00000354900	0	0	0	0	0	0.292	0	0.474	0.611
CAV1	CD44	9606.ENSP00000339191	9606.ENSP00000398632	0	0	0	0	0.143	0.226	0	0.490	0.632
CAV1	NOS1	9606.ENSP00000339191	9606.ENSP00000477999	0	0	0	0	0	0.045	0	0.640	0.641
CAV1	PTAFR	9606.ENSP00000339191	9606.ENSP00000442658	0	0	0	0	0	0.045	0	0.652	0.653
CAV1	KCNJ10	9606.ENSP00000339191	9606.ENSP00000495557	0	0	0	0	0.067	0	0	0.869	0.872
CAV1	TGFBR1	9606.ENSP00000339191	9606.ENSP00000447297	0	0	0	0	0	0.376	0	0.858	0.907
CBR1	FAAH	9606.ENSP00000290349	9606.ENSP00000243167	0	0	0	0	0.239	0	0	0.402	0.526
CBR1	H6PD	9606.ENSP00000290349	9606.ENSP00000473348	0.042	0	0	0	0.076	0.053	0.187	0.287	0.426
CBR1	DHFR2	9606.ENSP00000290349	9606.ENSP00000319170	0	0	0	0	0.074	0	0.907	0.802	0.981
CBX8	DNMT3A	9606.ENSP00000269385	9606.ENSP00000264709	0	0	0	0	0	0	0.400	0.170	0.480
CBX8	H2AC6	9606.ENSP00000269385	9606.ENSP00000367022	0	0	0	0	0.052	0.067	0.500	0.090	0.543
CBX8	YBX1	9606.ENSP00000269385	9606.ENSP00000361626	0	0	0	0	0	0.292	0	0.511	0.638
CBX8	H2BC21	9606.ENSP00000269385	9606.ENSP00000358151	0	0	0	0	0	0.206	0.500	0.175	0.643
CBX8	PHF19	9606.ENSP00000269385	9606.ENSP00000483946	0	0	0	0	0.067	0.255	0.360	0.344	0.669
CC2D1B	LIMD1	9606.ENSP00000360642	9606.ENSP00000273317	0	0	0	0	0.439	0	0	0.129	0.490
CC2D1B	TUBA1A	9606.ENSP00000360642	9606.ENSP00000439020	0	0	0	0	0.042	0	0.500	0	0.500
CC2D1B	TJAP1	9606.ENSP00000360642	9606.ENSP00000361522	0	0	0	0	0.531	0	0	0.067	0.543
CCBE1	GJC2	9606.ENSP00000497183	9606.ENSP00000355675	0	0	0	0	0	0	0	0.612	0.612
CCBE1	PROX1	9606.ENSP00000497183	9606.ENSP00000355925	0	0	0	0	0	0	0	0.494	0.494
CCL3	CD74	9606.ENSP00000477908	9606.ENSP00000009530	0	0	0	0	0.155	0	0	0.367	0.442
CCL3	CD4	9606.ENSP00000477908	9606.ENSP00000011653	0	0	0	0	0.156	0.099	0	0.855	0.880
CCL3	MMP2	9606.ENSP00000477908	9606.ENSP00000219070	0	0	0	0	0.080	0	0	0.600	0.616
CCL3	TGFB1	9606.ENSP00000477908	9606.ENSP00000221930	0	0	0	0	0.105	0	0	0.607	0.633
CCL3	CD38	9606.ENSP00000477908	9606.ENSP00000226279	0	0	0	0	0.099	0	0	0.639	0.660
CCL3	SPI1	9606.ENSP00000477908	9606.ENSP00000227163	0	0	0	0	0.232	0	0	0.297	0.437
CCL3	SELPLG	9606.ENSP00000477908	9606.ENSP00000228463	0	0	0	0	0.148	0	0	0.348	0.421
CCL3	CD68	9606.ENSP00000477908	9606.ENSP00000250092	0	0	0	0	0.161	0	0	0.603	0.653
CCL3	PXDN	9606.ENSP00000477908	9606.ENSP00000252804	0	0	0	0	0	0.078	0	0.430	0.451
CCL3	GFAP	9606.ENSP00000477908	9606.ENSP00000253408	0	0	0	0	0.056	0	0	0.393	0.402
CCL3	LMO2	9606.ENSP00000477908	9606.ENSP00000257818	0	0	0	0	0.080	0	0	0.693	0.705
CCL3	COTL1	9606.ENSP00000477908	9606.ENSP00000262428	0	0	0	0	0.043	0	0	0.403	0.404
CCL3	TYROBP	9606.ENSP00000477908	9606.ENSP00000262629	0	0	0	0	0.260	0	0	0.367	0.511
CCL3	IRF8	9606.ENSP00000477908	9606.ENSP00000268638	0	0	0	0	0.221	0	0	0.352	0.473
CCL3	CSF1R	9606.ENSP00000477908	9606.ENSP00000286301	0	0	0	0	0.194	0	0	0.658	0.712
CCL3	FCER1G	9606.ENSP00000477908	9606.ENSP00000289902	0	0	0	0	0.271	0	0	0.321	0.483
CCL3	CXCL16	9606.ENSP00000477908	9606.ENSP00000293778	0	0	0	0	0.083	0	0	0.728	0.740
CCL3	HAVCR2	9606.ENSP00000477908	9606.ENSP00000312002	0	0	0	0	0.175	0.099	0	0.447	0.553
CCL3	CD276	9606.ENSP00000477908	9606.ENSP00000320084	0	0	0	0	0.060	0	0	0.449	0.460
CCL3	IL17RA	9606.ENSP00000477908	9606.ENSP00000320936	0	0	0	0	0.106	0	0	0.591	0.618
CCL3	LAMP1	9606.ENSP00000477908	9606.ENSP00000333298	0	0	0	0	0	0	0	0.424	0.424
CCL3	NLRP3	9606.ENSP00000477908	9606.ENSP00000337383	0	0	0	0	0.258	0	0	0.479	0.596
CCL3	CX3CR1	9606.ENSP00000477908	9606.ENSP00000351059	0	0	0	0	0.110	0	0.650	0.912	0.970
CCL3	HLA-DRB1	9606.ENSP00000477908	9606.ENSP00000353099	0	0	0	0	0.167	0	0	0.523	0.585
CCL3	FCGR3A	9606.ENSP00000477908	9606.ENSP00000356946	0	0	0	0	0.193	0	0	0.625	0.684
CCL3	FCGR1A	9606.ENSP00000477908	9606.ENSP00000358165	0	0	0	0	0.133	0.096	0	0.432	0.516
CCL3	ENTPD1	9606.ENSP00000477908	9606.ENSP00000360250	0	0	0	0	0.132	0	0	0.365	0.425
CCL3	TREM2	9606.ENSP00000477908	9606.ENSP00000362205	0	0	0	0	0.109	0	0	0.401	0.443
CCL3	HLA-DRB5	9606.ENSP00000477908	9606.ENSP00000364114	0	0	0	0	0.108	0	0	0.426	0.466
CCL3	SYK	9606.ENSP00000477908	9606.ENSP00000364898	0	0	0	0	0.109	0	0	0.422	0.464
CCL3	CYBB	9606.ENSP00000477908	9606.ENSP00000367851	0	0	0	0	0.168	0	0	0.370	0.453
CCL3	SPP1	9606.ENSP00000477908	9606.ENSP00000378517	0	0	0	0	0.070	0	0	0.476	0.492
CCL3	HLA-DRA	9606.ENSP00000477908	9606.ENSP00000378786	0	0	0	0	0.204	0	0	0.290	0.411
CCL3	ITGB2	9606.ENSP00000477908	9606.ENSP00000380948	0	0	0	0	0.192	0	0	0.436	0.525
CCL3	CD44	9606.ENSP00000477908	9606.ENSP00000398632	0	0	0	0	0.069	0	0	0.659	0.669
CCL3	TGFA	9606.ENSP00000477908	9606.ENSP00000404131	0	0	0	0	0	0	0	0.705	0.705
CCL3	PTPRC	9606.ENSP00000477908	9606.ENSP00000411355	0	0	0	0	0.178	0	0	0.613	0.668
CCL3	IRF5	9606.ENSP00000477908	9606.ENSP00000418037	0	0	0	0	0.163	0	0	0.329	0.414
CCL3	ITGAX	9606.ENSP00000477908	9606.ENSP00000454623	0	0	0	0	0.172	0	0	0.609	0.662
CCL3	ITGAM	9606.ENSP00000477908	9606.ENSP00000496959	0	0	0	0	0.164	0	0	0.669	0.711
CD22	CD74	9606.ENSP00000085219	9606.ENSP00000009530	0	0	0	0	0.157	0.055	0	0.489	0.558
CD22	CD4	9606.ENSP00000085219	9606.ENSP00000011653	0	0	0.221	0	0.053	0.126	0	0.776	0.836
CD22	CSF1R	9606.ENSP00000085219	9606.ENSP00000286301	0	0	0	0.549	0.088	0.045	0	0.373	0.407
CD22	CD68	9606.ENSP00000085219	9606.ENSP00000250092	0	0	0	0	0.063	0	0	0.399	0.413
CD22	HLA-DRA	9606.ENSP00000085219	9606.ENSP00000378786	0	0	0	0	0.145	0.267	0	0.150	0.421
CD22	TYROBP	9606.ENSP00000085219	9606.ENSP00000262629	0	0	0	0	0.123	0.045	0	0.377	0.432
CD22	CD276	9606.ENSP00000085219	9606.ENSP00000320084	0	0	0	0	0	0.098	0	0.405	0.440
CD22	HAVCR2	9606.ENSP00000085219	9606.ENSP00000312002	0	0	0	0	0.067	0.126	0	0.370	0.441
CD22	SIGLEC10	9606.ENSP00000085219	9606.ENSP00000345243	0	0	0	0.569	0.181	0	0	0.375	0.466
CD22	FOLH1	9606.ENSP00000085219	9606.ENSP00000256999	0	0	0	0	0.046	0	0	0.479	0.481
CD22	INPP5D	9606.ENSP00000085219	9606.ENSP00000405338	0	0	0	0	0.067	0.301	0	0.318	0.516
CD22	TREM2	9606.ENSP00000085219	9606.ENSP00000362205	0	0	0	0	0.047	0	0	0.526	0.528
CD22	ST6GAL1	9606.ENSP00000085219	9606.ENSP00000169298	0	0	0	0	0.061	0	0	0.535	0.545
CD22	CX3CR1	9606.ENSP00000085219	9606.ENSP00000351059	0	0	0	0	0.056	0.098	0	0.541	0.575
CD22	CD44	9606.ENSP00000085219	9606.ENSP00000398632	0	0	0	0	0.042	0	0	0.578	0.578
CD22	CD24	9606.ENSP00000085219	9606.ENSP00000481841	0	0	0	0	0.044	0	0	0.599	0.601
CD22	CD9	9606.ENSP00000085219	9606.ENSP00000371958	0	0	0	0	0	0.126	0	0.620	0.653
CD22	CD37	9606.ENSP00000085219	9606.ENSP00000325708	0	0	0	0	0.239	0.126	0	0.600	0.710
CD22	FCGR3A	9606.ENSP00000085219	9606.ENSP00000356946	0	0	0	0	0.081	0	0	0.715	0.726
CD22	ITGAM	9606.ENSP00000085219	9606.ENSP00000496959	0	0	0	0	0.114	0.071	0	0.713	0.743
CD22	ITGAX	9606.ENSP00000085219	9606.ENSP00000454623	0	0	0	0	0.129	0.071	0	0.729	0.762
CD22	CD38	9606.ENSP00000085219	9606.ENSP00000226279	0	0	0	0	0.103	0	0	0.773	0.787
CD22	SYK	9606.ENSP00000085219	9606.ENSP00000364898	0	0	0	0	0.134	0.541	0.400	0.849	0.959
CD22	PTPN6	9606.ENSP00000085219	9606.ENSP00000391592	0	0	0	0	0.117	0.793	0.900	0.873	0.997
CD22	PTPRC	9606.ENSP00000085219	9606.ENSP00000411355	0	0	0	0	0.153	0.510	0.900	0.995	0.999
CD24	CD4	9606.ENSP00000481841	9606.ENSP00000011653	0	0	0	0	0	0	0	0.702	0.702
CD24	TGFB1	9606.ENSP00000481841	9606.ENSP00000221930	0	0	0	0	0.054	0	0	0.477	0.484
CD24	CD38	9606.ENSP00000481841	9606.ENSP00000226279	0	0	0	0	0.042	0	0	0.783	0.783
CD24	SELPLG	9606.ENSP00000481841	9606.ENSP00000228463	0	0	0	0	0	0	0	0.546	0.546
CD24	PXDN	9606.ENSP00000481841	9606.ENSP00000252804	0	0	0	0	0.083	0	0	0.479	0.502
CD24	PDGFRA	9606.ENSP00000481841	9606.ENSP00000257290	0	0	0	0	0.060	0	0	0.419	0.430
CD24	IRF8	9606.ENSP00000481841	9606.ENSP00000268638	0	0	0	0	0.066	0	0	0.426	0.442
CD24	CSF1R	9606.ENSP00000481841	9606.ENSP00000286301	0	0	0	0	0.053	0	0	0.407	0.414
CD24	HAVCR2	9606.ENSP00000481841	9606.ENSP00000312002	0	0	0	0	0.087	0	0	0.502	0.525
CD24	CNTN2	9606.ENSP00000481841	9606.ENSP00000330633	0	0	0	0	0	0	0	0.439	0.439
CD24	SIGLEC10	9606.ENSP00000481841	9606.ENSP00000345243	0	0	0	0	0	0	0	0.998	0.998
CD24	FCGR3A	9606.ENSP00000481841	9606.ENSP00000356946	0	0	0	0	0	0	0	0.622	0.622
CD24	PIGM	9606.ENSP00000481841	9606.ENSP00000357069	0	0	0	0	0	0	0	0.482	0.482
CD24	FCGR1A	9606.ENSP00000481841	9606.ENSP00000358165	0	0	0	0	0	0	0	0.576	0.576
CD24	CD9	9606.ENSP00000481841	9606.ENSP00000371958	0	0	0	0	0.118	0	0	0.575	0.609
CD24	SPP1	9606.ENSP00000481841	9606.ENSP00000378517	0	0	0	0	0.101	0	0	0.370	0.409
CD24	CD44	9606.ENSP00000481841	9606.ENSP00000398632	0	0	0	0	0	0	0	0.898	0.898
CD24	PTPRC	9606.ENSP00000481841	9606.ENSP00000411355	0	0	0	0	0.042	0	0	0.780	0.780
CD24	ITGAX	9606.ENSP00000481841	9606.ENSP00000454623	0	0	0	0	0	0	0	0.663	0.663
CD24	ITGAM	9606.ENSP00000481841	9606.ENSP00000496959	0	0	0	0	0.044	0	0	0.667	0.668
CD276	CD4	9606.ENSP00000320084	9606.ENSP00000011653	0	0	0	0	0	0.091	0	0.871	0.877
CD276	LCP2	9606.ENSP00000320084	9606.ENSP00000046794	0	0	0	0	0.049	0.045	0	0.543	0.548
CD276	TGFB1	9606.ENSP00000320084	9606.ENSP00000221930	0	0	0	0	0.062	0.069	0	0.473	0.499
CD276	CD38	9606.ENSP00000320084	9606.ENSP00000226279	0	0	0	0	0.049	0	0	0.482	0.486
CD276	CD68	9606.ENSP00000320084	9606.ENSP00000250092	0	0	0	0	0.053	0.318	0	0.441	0.607
CD276	FOLH1	9606.ENSP00000320084	9606.ENSP00000256999	0	0	0	0	0	0	0	0.406	0.406
CD276	DNMT3A	9606.ENSP00000320084	9606.ENSP00000264709	0	0	0	0	0.065	0	0	0.470	0.483
CD276	CSF1R	9606.ENSP00000320084	9606.ENSP00000286301	0	0	0	0	0	0	0	0.400	0.400
